,Ad_ID,Number_of_rooms,Metro,Address,Area_m2,Price,Repair,Windows,Children/pets_allowed,Floor flat,Design,Number of storeys in the house,Bathroom_separated,Bathroom_combined,Balcon,Loggia,pass_elevator,fr_elevator
12890,273858089,1,м. Первомайская ,"Москва, 15-я Парковая улица, 27/1",42.0,35000.0,1,0,0,14,5,15,0,1,0,1,1,1
12891,274813846,1,м. Первомайская ,"Москва, 15-я Парковая улица, 18к2",40.0,35000.0,1,0,2,9,4,17,0,1,0,1,1,1
12892,274235317,2,м. Первомайская ,"Москва, 16-я Парковая улица, 29К2",45.0,35000.0,1,0,3,2,2,5,1,0,1,0,1,0
12893,274262643,1,м. Первомайская ,"Москва, 15-я Парковая улица, 27/1",38.0,35000.0,2,0,0,14,4,15,0,1,1,0,1,0
12894,274355771,1,м. Первомайская ,"Москва, Сиреневый бульвар, 36",33.0,36000.0,1,0,2,8,2,9,0,1,1,0,1,0
12895,274876097,3,м. Первомайская ,"Москва, 15-я Парковая улица, 24К2",56.0,37000.0,1,0,3,9,2,9,1,0,1,0,1,0
12896,274877802,2,м. Первомайская ,"Москва, 16-я Парковая улица, 2",43.0,37990.0,1,0,3,5,3,5,0,1,1,0,1,0
12897,273801712,2,м. Первомайская ,"Москва, 16-я Парковая улица, 27",44.0,38000.0,1,0,0,4,3,9,1,0,1,0,1,0
12898,273591869,1,м. Первомайская ,"Москва, Нижняя Первомайская улица, 54",38.0,40000.0,2,0,0,9,2,16,0,1,0,1,1,1
12899,274183479,2,м. Первомайская ,"Москва, Первомайская улица, 116",54.0,42000.0,2,0,2,10,2,18,0,1,1,0,1,0
12900,272805799,2,м. Первомайская ,"Москва, Измайловский проспект, 91К3",50.0,42000.0,0,0,0,10,3,12,0,1,0,1,1,1
12901,274741609,2,м. Первомайская ,"Москва, Первомайская улица, 107А",53.0,42000.0,2,0,3,3,3,5,0,1,1,0,1,0
12902,272377027,3,м. Первомайская ,"Москва, 13-я Парковая улица, 16К6",60.0,43000.0,1,0,2,3,2,5,1,0,1,0,1,0
12903,274039040,2,м. Первомайская ,"Москва, Средняя Первомайская улица, 42/6",64.6,44000.0,1,0,2,4,3,5,1,0,1,0,1,0
12904,274571095,2,м. Первомайская ,"Москва, Измайловский бульвар, 73",39.0,45000.0,0,0,0,7,2,12,1,0,1,0,1,0
12905,274642753,3,м. Первомайская ,"Москва, 15-я Парковая улица, 24К1",60.0,45000.0,1,0,3,8,2,9,1,0,0,1,1,0
12906,274877261,2,м. Щелковская ,"Москва, Сиреневый бульвар, 44",47.8,49000.0,1,2,2,8,3,9,1,0,1,0,1,0
12907,274930881,2,м. Первомайская ,"Москва, Первомайская улица, 115",54.0,50000.0,0,0,3,5,3,5,1,0,1,0,1,0
12908,274939997,3,м. Первомайская ,"Москва, Первомайская улица, 107А",95.0,55000.0,1,2,2,2,3,5,0,1,1,0,1,0
12909,274331627,2,м. Первомайская ,"Москва, Средняя Первомайская улица, 34",86.0,65000.0,2,0,0,5,5,19,0,1,0,1,1,1
12910,274055972,3,м. Первомайская ,"Москва, 15-я Парковая улица, 27/1",74.0,65000.0,1,0,2,7,2,15,1,1,0,1,1,0
12911,274593483,3,м. Первомайская ,"Москва, Первомайская улица, 117",63.0,70000.0,0,2,3,1,3,5,1,0,1,0,1,0
12912,274643447,3,м. Первомайская ,"Москва, Средняя Первомайская улица, 15",118.0,90000.0,0,2,2,4,5,7,1,0,1,0,1,0
